"ExtId";"Name";"Start";"End";"Resource";"2020-09-28";"2020-10-05";"2020-10-12";"2020-10-19";"2020-10-26";"2020-11-02";"2020-11-09"
1;"1 SOW-345";"2020-10-19";"2020-10-23";"";"";"";"";33.0;"";"";""
1.1;"  1.0 structure=634";"2020-10-19";"2020-10-23";"";"";"";"";33.0;"";"";""
"1.1.1";"    1.0.0 Neusoft B-Sampl";"2020-10-19";"2020-10-23";"";"";"";"";33.0;"";"";""
"1.1.1.3";"      1.0.0.2 Documentation -";"2020-10-19";"2020-10-19";"";"";"";"";"";"";"";""
"1.1.1.3.1";"        1.0.0.2.0 New Task";"2020-10-19";"2020-10-19";"";"";"";"";"";"";"";""
"1.1.1.1";"      1.0.0.0 Invoice Verific";"2020-10-19";"2020-10-21";"Ahmad_Mumtaz (Ahmad_Mumtaz)";"";"";"";24.0;"";"";""
"1.1.1.2";"      1.0.0.1 Hardware Pictur";"2020-10-22";"2020-10-23";"Ahmad_Mumtaz (Ahmad_Mumtaz)";"";"";"";9.0;"";"";""
1.2;"  1.1 key in -HMIP-16";"2020-10-19";"2020-10-19";"";"";"";"";"";"";"";""
"1.2.1";"    1.1.0 Invoice Verific";"2020-10-19";"2020-10-19";"";"";"";"";"";"";"";""
